date,total_closed_pnl,avg_closed_pnl,total_trade_volume,trade_count,net_trade_size,index_value,classification
2024-07-01,5065.839308,79.1537391875,362670.14177832,64,480160.8899999999,53,Neutral
2024-07-02,2421.253116,134.514062,33347.468420000005,18,11166.300000000001,51,Neutral
2024-07-03,1118.387284,62.132626888888886,179600.65518,18,256.58119999999997,50,Neutral
2024-07-04,0.0,0.0,430567.99370999995,25,302.99010000000004,44,Fear
2024-07-05,0.0,0.0,272289.87738,32,5354.8189999999995,29,Fear
2024-07-06,108.87217799999999,4.53634075,2490.18429332,24,982715.0,26,Fear
2024-07-07,61.428942,6.1428942,498.75,10,-125.0,29,Fear
2024-07-08,0.0,0.0,497.64,1,156.0,28,Fear
2024-07-09,648.984412,43.265627466666665,2736.4455,15,-600.0,27,Fear
2024-07-10,11977.734907,213.88812333928573,687900.18475,56,-6735.6333,28,Fear
2024-07-11,1876.812082,98.77958326315789,169887.01205999998,19,0.1189,29,Fear
2024-07-12,1412.314654,74.33235021052631,89582.96714000001,19,6408.3182,25,Fear
2024-07-13,2913.617837,171.38928452941175,139189.19196,17,-119.92259999999999,25,Fear
2024-07-14,0.0,0.0,84001.12074,7,-26.2683,33,Fear
2024-07-15,-1.0,-0.038461538461538464,198344.85125,26,-49.84870000000001,52,Neutral
2024-07-16,0.0,0.0,144000.54916,22,-41.7464,65,Greed
2024-07-17,1859.269477,5.297064037037037,626005.51014,351,-10654.66380000001,69,Greed
2024-07-18,3803.884311,63.398071849999994,649704.82814,60,2916.6704,61,Greed
2024-07-19,2155.891114,93.73439626086956,150269.43056,23,-800.5005,60,Greed
2024-07-20,2299.169566,8.643494609022557,244362.21072,266,-15476.5655,74,Greed
2024-07-21,-2960.716887,-6.608743051339286,234307.40842,448,-6020.654699999999,74,Greed
2024-07-22,1517.119876,9.851427766233765,304213.71142,154,6593.633699999999,70,Greed
2024-07-23,89890.302206,242.9467627189189,358526.5282,370,-30807.0812,71,Greed
2024-07-24,625.561479,6.9506831,69207.92880726614,90,94135.42679525,69,Greed
2024-07-25,916.7382600000001,11.753054615384617,528555.3094460242,78,395044.16002000007,68,Greed
2024-07-26,2766.513113,18.200744164473683,548587.650090869,152,205886.68740300002,68,Greed
2024-07-27,6400.623656,112.2916430877193,905199.782580988,57,-2023.2124300000003,72,Greed
2024-07-28,587.29903,36.706189375,43254.660500000005,16,2777.0029000000004,71,Greed
2024-07-29,330.80445399999996,8.482165487179486,327199.14641000004,39,-1169.0000000000005,74,Greed
2024-07-30,0.0,0.0,36006.47697,6,10.926099999999998,67,Greed
2024-07-31,765.690884,17.806764744186047,84506.534086,43,2249.617699999999,61,Greed
2024-08-01,167.080017,2.9312283684210527,227774.51260871076,57,284097.9388565,52,Neutral
2024-08-02,782.3681909999999,12.418542714285714,396320.3565008986,63,68247.84635919999,57,Greed
2024-08-03,464.1897,12.545667567567568,290532.88809492247,37,67871.23526,37,Fear
2024-08-04,-122672.000883,-965.9212667952756,1207744.076719446,127,220727.22438929998,34,Fear
2024-08-05,-13013.665169,-162.6708146125,420495.37342,80,418147.6703,26,Fear
2024-08-06,267.318048,2.4982995140186914,61478.393769969996,107,-40078.57356999998,17,Extreme Fear
2024-08-07,188.789255,5.720886515151515,2492.769600670129,33,-269.61451012,29,Fear
2024-08-08,-40.712216999999995,-4.5235796666666666,16299.355026344874,9,10272.9618618,20,Extreme Fear
2024-08-09,18082.071276,125.56993941666666,503204.82161845063,144,35455.91339999999,48,Neutral
2024-08-10,0.0,0.0,11339.27659695112,88,144955.58043,40,Fear
2024-08-11,847.7766200000001,35.32402583333334,44230.218423,24,95493.7535,39,Fear
2024-08-12,858.6705000000001,17.88896875,54167.3325293208,48,43418.949996,25,Fear
2024-08-13,212.08102,9.220913913043479,20797.882690046135,23,-74866.39050362,31,Fear
2024-08-14,2168.9015130000003,86.75606052,66710.01885611855,25,62732.63877599999,30,Fear
2024-08-15,0.0,0.0,1522.367833,12,47151.0,29,Fear
2024-08-16,825.230544,23.578015542857145,166382.806193,35,68631.8999,27,Fear
2024-08-17,-288.283113,-9.609437100000001,30248.943302,30,177058.15,25,Fear
2024-08-18,307.201888,20.480125866666665,62804.47477449648,15,-23.728805530000002,31,Fear
2024-08-19,339.69958299999996,42.462447874999995,100315.03385,8,0.0,28,Fear
2024-08-20,192.602844,16.050237,49914.79692,12,-8053.6294,30,Fear
2024-08-21,656.200925,4.525523620689655,104990.427218,145,8061.3620999999985,26,Fear
2024-08-23,1005.30527,100.53052699999999,63509.55795,10,-23.667,34,Fear
2024-08-24,0.0,0.0,34999.670079999996,7,-5.73838,56,Greed
2024-08-25,0.0,0.0,21950.275498,17,55152.52373,54,Neutral
2024-08-26,231.236918,38.539486333333336,92611.27523,6,140.9642,55,Greed
2024-08-27,0.0,0.0,70250.16057617421,50,80003.11602,48,Neutral
2024-08-28,1333.359645,148.15107166666667,71160.08737,9,19.876249999999995,30,Fear
2024-08-29,0.0,0.0,9995.8488,1,-0.1644,29,Fear
2024-08-30,256.464,42.744,37233.242888535875,6,-5426.2378444,34,Fear
2024-08-31,10.882801,0.3200823823529412,107507.43109782883,34,-8045.2804,29,Fear
2024-09-01,137.433093,11.452757750000002,12359.663834683,12,2309.67886,26,Fear
2024-09-02,0.0,0.0,30000.424769999998,2,12.3657,26,Fear
2024-09-04,1065.785132,31.346621529411763,131480.94938499999,34,52208.692090000004,27,Fear
2024-09-05,0.0,0.0,0.8427951946369999,1,-10818.93703,29,Fear
2024-09-06,-1104.856765,-26.306113452380952,39047.114830000006,42,-1418.3669,22,Extreme Fear
2024-09-08,0.0,0.0,0.10981749839999999,1,-0.93414,29,Fear
2024-09-09,0.0,0.0,4014.42,2,349080.0,26,Fear
2024-09-10,-219.729659,-73.24321966666666,2547.28609,3,66672.2379,33,Fear
2024-09-11,0.0,0.0,0.5380624473,1,-35870.82982,37,Fear
2024-09-14,0.0,0.0,1014.8075296319199,11,85251.66356,50,Neutral
2024-09-18,-878.684794,-6.059895131034483,13633.51601,145,74294.0,45,Neutral
2024-09-19,0.0,0.0,1521.854026,19,81738.0,49,Neutral
2024-09-20,9585.03428,599.0646425,332873.40741,16,-7602.711109999998,54,Neutral
2024-09-21,36165.56933,1572.416057826087,165648.14804,23,-38533.5,54,Neutral
2024-09-22,0.0,0.0,19999.737970000002,3,0.31897,52,Neutral
2024-09-23,334.760796,167.380398,40334.29548,2,-0.31942,50,Neutral
2024-09-24,0.0,0.0,7118.647723,10,33796.77,54,Neutral
2024-09-25,0.0,0.0,52754.136719999995,9,-668.72141,59,Greed
2024-09-26,439.812513,54.976564125,113711.927413,8,-8342.780780000001,50,Neutral
2024-09-27,0.0,0.0,126097.029356,56,-6413.99333,61,Greed
2024-09-28,0.0,0.0,29199.208700000003,4,-7119.32,64,Greed
2024-09-30,2710.626288,25.571946113207545,214670.00032,106,-9183.155,61,Greed
2024-10-01,0.0,0.0,139954.32129,4,2.25636,50,Neutral
2024-10-02,0.0,0.0,99954.34189,4,1.64099,42,Fear
2024-10-03,100.375782,11.152864666666666,132935.701832,9,1.990389999999934,37,Fear
2024-10-04,0.0,0.0,0.33810461189999996,1,-307.367829,41,Fear
2024-10-05,5767.161892,155.86924032432432,605605.7145409533,37,-2275.6528559999997,49,Neutral
2024-10-06,130.487079,5.9312308636363635,300130.58184,22,-3.52459,50,Neutral
2024-10-07,0.0,0.0,219984.64516000001,21,-3.4539,50,Neutral
2024-10-08,5396.546638,149.90407327777777,434584.1281958693,36,-400.576011,49,Neutral
2024-10-09,396.06272,28.290194285714286,220399.92491,14,1.6255000000000004,49,Neutral
2024-10-10,0.0,0.0,300024.33151,16,5.04899,39,Fear
2024-10-11,8885.327477,341.74336450000004,488904.16735649866,26,-4520.60588,32,Fear
2024-10-12,541.55471,54.155471,159713.39476,10,0.96105,49,Neutral
2024-10-13,0.0,0.0,60002.41658999999,10,0.95706,50,Neutral
2024-10-14,1913.61958,382.72391600000003,61916.017750000006,5,-0.95706,48,Neutral
2024-10-15,1170.2260760000001,167.17515371428573,81173.36482999999,7,0.0,65,Greed
2024-10-16,219.480876,19.95280690909091,80229.16954,11,-1.1102230246251565e-16,73,Greed
2024-10-17,36.11496,4.0127733333333335,140531.75086,9,1.5022600000000002,71,Greed
2024-10-18,333.219141,55.536523499999994,120331.43022,6,-1.4948700000000001,73,Greed
2024-10-19,0.0,0.0,99996.86605000001,4,1.46394,72,Greed
2024-10-20,389.155797,4.05370621875,176447.874719,96,-18152.96394000001,73,Greed
2024-10-21,2464.915564,14.248066843930635,324118.01302,173,16547.516029999984,72,Greed
2024-10-22,0.0,0.0,60000.3603,3,0.8949,70,Greed
2024-10-23,-46.489941,-2.5827745,210006.05804,18,1.053919999999998,71,Greed
2024-10-25,13235.862071,441.19540236666666,427883.18564,30,7996.7307200000005,72,Greed
2024-10-27,666.6623079999999,166.66557699999998,90664.40483,4,-1.33847,74,Greed
2024-10-28,167.28016200000002,12.867704769230771,121495.23672,13,-6180.7549500000005,72,Greed
2024-10-29,801.170876,15.11643162264151,613267.82764,53,-3095.2573299999995,72,Greed
2024-10-30,9.150023,0.36600091999999995,11830.848523,25,-1976.8139,77,Extreme Greed
2024-10-31,1214.043811,25.292579395833332,896173.3526710001,48,6680.887489999998,77,Extreme Greed
2024-11-01,1040.475736,45.238075478260875,260981.03281,23,0.4341899999999441,75,Extreme Greed
2024-11-02,0.0,0.0,39999.9936,2,0.58072,72,Greed
2024-11-03,0.0,0.0,129055.6699,6,129416.61818,74,Greed
2024-11-04,2799.410474,77.76140205555555,451811.99086,36,-129416.5867,70,Greed
2024-11-05,678.4759280000001,67.8475928,200627.22152,10,-1.47219,70,Greed
2024-11-06,2817.83723,187.85581533333334,123906.91204000001,15,0.0,70,Greed
2024-11-07,4493.353136,39.764187044247784,111335.248923,113,-47005.29,77,Extreme Greed
2024-11-08,-64.41354100000007,-1.6516292564102582,270700.42376000003,39,0.0,75,Extreme Greed
2024-11-09,102.90894,1.196615581395349,193384.397206,86,-6352.155400000003,75,Extreme Greed
2024-11-10,991.114334,5.728984589595376,413636.714386,173,-797989.4028900001,78,Extreme Greed
2024-11-11,6749.630996,18.09552545844504,1570572.268259,373,795382.8749000002,76,Extreme Greed
2024-11-12,3494.399394,20.435084175438597,1226354.4955799999,171,10370.724380000014,80,Extreme Greed
2024-11-13,7846.402274,163.46671404166668,515336.40695100004,48,-1689.880290000001,84,Extreme Greed
2024-11-14,4563.509225,41.4864475,1008361.796498,110,0.0,88,Extreme Greed
2024-11-15,4140.740438,27.790204281879195,1427858.505675,149,1024.9799999999977,80,Extreme Greed
2024-11-16,2769.521909,17.640266936305732,303296.101346,157,526.8159400000004,86,Extreme Greed
2024-11-17,882.975285,4.224762129186603,1215987.528332,209,-8195.461369999997,90,Extreme Greed
2024-11-18,4470.815187,12.921431176300578,2084339.59982066,346,-74104.81913000002,83,Extreme Greed
2024-11-19,2958.268991,9.699242593442623,628031.1904862984,305,-5163.496249999967,90,Extreme Greed
2024-11-20,4210.0928969999995,7.654714358181818,1999514.154817,550,10952.93874999974,83,Extreme Greed
2024-11-21,1692.430891,3.1634222261682243,598300.558755,535,208396.2259699991,82,Extreme Greed
2024-11-22,-18105.345617,-26.664721085419732,1646713.6355,679,-13077.20389000047,94,Extreme Greed
2024-11-23,2901.531638,7.993200104683195,516245.725623,363,39651.92449999985,93,Extreme Greed
2024-11-24,945.550386,5.497385965116279,664952.281453,172,142532.44608999998,80,Extreme Greed
2024-11-25,5523.740734,21.66172836862745,937410.852452,255,-366738.76746,82,Extreme Greed
2024-11-26,1094.809359,3.6251965529801327,1146902.403842,302,144781.4029600001,79,Extreme Greed
