date,total_closed_pnl,avg_closed_pnl,total_trade_volume,trade_count,net_trade_size,index_value,classification,lag_index_value,lag_classification,pnl_per_trade,pnl_per_volume,is_greed,sentiment_change
2024-12-22,352197.163973,455.03509557235145,3087320.219224,774,-255587.68042999995,73,Greed,73.0,Greed,455.03509557235145,0.11407859857877814,1,0.0
2024-12-23,-29430.626577,-12.53967898466127,6771878.43537355,2347,180158.02919000003,70,Greed,73.0,Greed,-12.53967898466127,-0.004346006334559452,1,-3.0
2024-12-24,14813.780116,43.827751822485205,1767036.124260408,338,-127263.59884993,73,Greed,70.0,Greed,43.827751822485205,0.008383405360317859,1,3.0
2024-12-25,756.6570469999998,3.637774264423076,347889.27224130736,208,-96296.11290000002,73,Greed,73.0,Greed,3.637774264423076,0.002174993905748142,1,0.0
2024-12-26,60228.639722,86.41124780774749,2205242.687897,697,164339.76029000006,79,Extreme Greed,73.0,Greed,86.41124780774749,0.02731156985693771,1,6.0
2024-12-27,2672.811035,10.280042442307693,347912.9494670144,260,24930.03080584,74,Greed,79.0,Extreme Greed,10.280042442307693,0.007682413198745881,1,-5.0
2024-12-28,940.673623,5.842693310559007,281555.105363,161,348.1311600000008,72,Greed,74.0,Greed,5.842693310559007,0.0033409929533588798,1,-2.0
2024-12-29,2884.067927,14.348596651741294,344628.494552,201,-106563.93951,73,Greed,72.0,Greed,14.348596651741294,0.008368628748325484,1,1.0
2024-12-30,9009.738137,29.637296503289477,1073865.740501,304,-51942.84757,65,Greed,73.0,Greed,29.637296503289473,0.008390004259560983,1,-8.0
2024-12-31,5445.01281,17.794159509803922,877164.63378,306,-7054.835099999793,64,Greed,65.0,Greed,17.794159509803922,0.006207515214715843,1,-1.0
2025-01-01,-9528.065345,-99.25068067708334,282582.080708,96,-6948.5634800000025,66,Greed,64.0,Greed,-99.25068067708334,-0.0337178681717105,1,2.0
2025-01-02,8716.519087,24.145482235457067,774674.85594,361,-116965.73578,70,Greed,66.0,Greed,24.145482235457067,0.011251842008507257,1,4.0
2025-01-03,6028.486793,11.867099986220472,771209.104457,508,-173240.07229999997,74,Greed,70.0,Greed,11.867099986220472,0.007816928973166873,1,4.0
2025-01-04,2553.537968,6.882851665768194,1826029.677386,371,-108878.00435999998,73,Greed,74.0,Greed,6.882851665768194,0.0013984098942222251,1,-1.0
2025-01-05,3187.719363,13.337737920502091,451943.5077764512,239,-196373.31531,72,Greed,73.0,Greed,13.337737920502093,0.007053358015216295,1,-1.0
2025-01-06,6064.185393,10.583220581151831,556527.062831,573,-279603.23112,76,Extreme Greed,72.0,Greed,10.583220581151831,0.010896478892063341,1,4.0
2025-01-07,16098.227531,25.271942748822607,1313178.171034,637,783786.7529699997,78,Extreme Greed,76.0,Extreme Greed,25.271942748822607,0.012258981976774875,1,2.0
